region,macroregion,fecha,codigo_region,poblacion,n_pcr_dia,casos_covid,muertes_covid,pcr_acum,pcr_acum_pob,casos_covid_pob
Arica y Parinacota,Norte Grande,2020-04-09,15,252110,70,87,0,70,2.776565784776486,3.4508746182222043
Arica y Parinacota,Norte Grande,2020-04-10,15,252110,0,87,0,70,2.776565784776486,3.4508746182222043
Arica y Parinacota,Norte Grande,2020-04-11,15,252110,93,87,0,163,6.465431755979532,3.4508746182222043
Arica y Parinacota,Norte Grande,2020-04-12,15,252110,103,87,1,266,10.550949982150648,3.4508746182222043
Arica y Parinacota,Norte Grande,2020-04-13,15,252110,0,115,1,266,10.550949982150648,4.561500932132799
Arica y Parinacota,Norte Grande,2020-04-14,15,252110,93,115,1,359,14.239815953353695,4.561500932132799
Arica y Parinacota,Norte Grande,2020-04-15,15,252110,24,124,1,383,15.191781365277063,4.918487961604062
Arica y Parinacota,Norte Grande,2020-04-16,15,252110,198,124,1,581,23.045496013644836,4.918487961604062
Arica y Parinacota,Norte Grande,2020-04-17,15,252110,131,134,2,712,28.241640553726548,5.315140216572131
Arica y Parinacota,Norte Grande,2020-04-18,15,252110,0,134,2,712,28.241640553726548,5.315140216572131
Arica y Parinacota,Norte Grande,2020-04-19,15,252110,155,134,2,867,34.38975050573163,5.315140216572131
Arica y Parinacota,Norte Grande,2020-04-20,15,252110,48,166,2,915,36.293681329578355,6.584427432469954
Arica y Parinacota,Norte Grande,2020-04-21,15,252110,52,166,2,967,38.356273055412316,6.584427432469954
Arica y Parinacota,Norte Grande,2020-04-22,15,252110,0,166,2,967,38.356273055412316,6.584427432469954
Arica y Parinacota,Norte Grande,2020-04-23,15,252110,169,166,2,1136,45.059696164372696,6.584427432469954
Arica y Parinacota,Norte Grande,2020-04-24,15,252110,85,224,3,1221,48.43124033160128,8.885010511284756
Arica y Parinacota,Norte Grande,2020-04-25,15,252110,90,224,3,1311,52.00111062631391,8.885010511284756
Arica y Parinacota,Norte Grande,2020-04-26,15,252110,73,224,3,1384,54.896672087580825,8.885010511284756
Arica y Parinacota,Norte Grande,2020-04-27,15,252110,146,270,3,1530,60.687795010114634,10.709610884137875
Arica y Parinacota,Norte Grande,2020-04-28,15,252110,80,270,3,1610,63.861013049859196,10.709610884137875
Arica y Parinacota,Norte Grande,2020-04-29,15,252110,61,270,4,1671,66.28059180516442,10.709610884137875
Arica y Parinacota,Norte Grande,2020-04-30,15,252110,84,270,4,1755,69.6124707468962,10.709610884137875
Arica y Parinacota,Norte Grande,2020-05-01,15,252110,124,297,4,1879,74.53095870850025,11.780571972551664
Arica y Parinacota,Norte Grande,2020-05-02,15,252110,87,297,4,1966,77.98183332672245,11.780571972551664
Arica y Parinacota,Norte Grande,2020-05-03,15,252110,41,297,4,2007,79.60810757209155,11.780571972551664
Arica y Parinacota,Norte Grande,2020-05-04,15,252110,89,310,4,2096,83.13831264130737,12.296219904010155
Arica y Parinacota,Norte Grande,2020-05-05,15,252110,86,310,4,2182,86.54952203403276,12.296219904010155
Arica y Parinacota,Norte Grande,2020-05-06,15,252110,77,310,5,2259,89.60374439728689,12.296219904010155
Arica y Parinacota,Norte Grande,2020-05-07,15,252110,123,310,6,2382,94.48256713339416,12.296219904010155
Arica y Parinacota,Norte Grande,2020-05-08,15,252110,92,328,6,2474,98.1317678791004,13.010193962952679
Arica y Parinacota,Norte Grande,2020-05-09,15,252110,127,328,6,2601,103.16925151719487,13.010193962952679
Arica y Parinacota,Norte Grande,2020-05-10,15,252110,74,328,6,2675,106.10447820395859,13.010193962952679
Arica y Parinacota,Norte Grande,2020-05-11,15,252110,70,353,7,2745,108.88104398873509,14.001824600372853
Arica y Parinacota,Norte Grande,2020-05-12,15,252110,83,353,7,2828,112.17325770497006,14.001824600372853
Arica y Parinacota,Norte Grande,2020-05-13,15,252110,90,353,7,2918,115.74312799968268,14.001824600372853
Arica y Parinacota,Norte Grande,2020-05-14,15,252110,140,353,7,3058,121.29625956923564,14.001824600372853
Arica y Parinacota,Norte Grande,2020-05-15,15,252110,107,371,7,3165,125.540438697394,14.715798659315379
Arica y Parinacota,Norte Grande,2020-05-16,15,252110,0,371,7,3165,125.540438697394,14.715798659315379
Arica y Parinacota,Norte Grande,2020-05-17,15,252110,106,371,7,3271,129.7449526000555,14.715798659315379
Arica y Parinacota,Norte Grande,2020-05-18,15,252110,135,405,7,3406,135.09975804212448,16.064416326206814
Arica y Parinacota,Norte Grande,2020-05-19,15,252110,78,405,7,3484,138.1936456308754,16.064416326206814
Arica y Parinacota,Norte Grande,2020-05-20,15,252110,93,405,7,3577,141.88251160207847,16.064416326206814
Arica y Parinacota,Norte Grande,2020-05-21,15,252110,88,405,7,3665,145.37305144579747,16.064416326206814
Arica y Parinacota,Norte Grande,2020-05-22,15,252110,182,477,7,3847,152.59212248621634,18.920312561976914
Arica y Parinacota,Norte Grande,2020-05-23,15,252110,157,477,7,4004,158.81956288921504,18.920312561976914
Arica y Parinacota,Norte Grande,2020-05-24,15,252110,76,477,7,4080,161.83412002697236,18.920312561976914
Arica y Parinacota,Norte Grande,2020-05-25,15,252110,160,525,7,4240,168.18055610646147,20.824243385823646
Arica y Parinacota,Norte Grande,2020-05-26,15,252110,159,525,7,4399,174.48732696045374,20.824243385823646
Arica y Parinacota,Norte Grande,2020-05-27,15,252110,81,525,7,4480,177.70021022569512,20.824243385823646
Arica y Parinacota,Norte Grande,2020-05-28,15,252110,172,525,7,4652,184.52262901114594,20.824243385823646
Arica y Parinacota,Norte Grande,2020-05-29,15,252110,90,596,7,4742,188.09249930585855,23.640474396096945
Arica y Parinacota,Norte Grande,2020-05-30,15,252110,243,596,7,4985,197.73114910158262,23.640474396096945
Arica y Parinacota,Norte Grande,2020-05-31,15,252110,137,596,7,5122,203.1652849946452,23.640474396096945
Arica y Parinacota,Norte Grande,2020-06-01,15,252110,0,653,8,5122,203.1652849946452,25.901392249414936
Arica y Parinacota,Norte Grande,2020-06-02,15,252110,0,653,8,5122,203.1652849946452,25.901392249414936
Arica y Parinacota,Norte Grande,2020-06-03,15,252110,0,653,8,5122,203.1652849946452,25.901392249414936
Arica y Parinacota,Norte Grande,2020-06-04,15,252110,0,653,8,5122,203.1652849946452,25.901392249414936
Arica y Parinacota,Norte Grande,2020-06-05,15,252110,0,806,9,5122,203.1652849946452,31.9701717504264
Arica y Parinacota,Norte Grande,2020-06-06,15,252110,0,806,9,5122,203.1652849946452,31.9701717504264
Arica y Parinacota,Norte Grande,2020-06-07,15,252110,0,806,8,5122,203.1652849946452,31.9701717504264
Arica y Parinacota,Norte Grande,2020-06-08,15,252110,0,905,8,5122,203.1652849946452,35.89702907461029
Arica y Parinacota,Norte Grande,2020-06-09,15,252110,0,905,8,5122,203.1652849946452,35.89702907461029
Arica y Parinacota,Norte Grande,2020-06-10,15,252110,92,905,10,5214,206.81448574035144,35.89702907461029
Arica y Parinacota,Norte Grande,2020-06-11,15,252110,274,905,10,5488,217.68275752647654,35.89702907461029
Arica y Parinacota,Norte Grande,2020-06-12,15,252110,164,1048,10,5652,224.18785450795286,41.56915632065368
Arica y Parinacota,Norte Grande,2020-06-13,15,252110,189,1048,10,5841,231.6845821268494,41.56915632065368
Arica y Parinacota,Norte Grande,2020-06-14,15,252110,241,1048,11,6082,241.24390147157987,41.56915632065368
Arica y Parinacota,Norte Grande,2020-06-15,15,252110,237,1179,11,6319,250.6445599143231,46.765300860735394
Arica y Parinacota,Norte Grande,2020-06-16,15,252110,244,1179,11,6563,260.322874935544,46.765300860735394
Arica y Parinacota,Norte Grande,2020-06-17,15,252110,170,1179,11,6733,267.0659632700012,46.765300860735394
Arica y Parinacota,Norte Grande,2020-06-18,15,252110,113,1179,12,6846,271.54813375114037,46.765300860735394
Arica y Parinacota,Norte Grande,2020-06-19,15,252110,231,1179,12,7077,280.7108008409028,46.765300860735394
Arica y Parinacota,Norte Grande,2020-06-20,15,252110,201,1179,12,7278,288.683511165761,46.765300860735394
Tarapacá,Norte Grande,2020-04-09,1,382773,0,33,0,0,0,0.8621297740436238
Tarapacá,Norte Grande,2020-04-10,1,382773,0,33,0,0,0,0.8621297740436238
Tarapacá,Norte Grande,2020-04-11,1,382773,0,33,0,0,0,0.8621297740436238
Tarapacá,Norte Grande,2020-04-12,1,382773,0,33,0,0,0,0.8621297740436238
Tarapacá,Norte Grande,2020-04-13,1,382773,0,52,0,0,0,1.358507522735407
Tarapacá,Norte Grande,2020-04-14,1,382773,0,52,0,0,0,1.358507522735407
Tarapacá,Norte Grande,2020-04-15,1,382773,0,62,0,0,0,1.6197589694152932
Tarapacá,Norte Grande,2020-04-16,1,382773,30,62,0,30,0.783754340039658,1.6197589694152932
Tarapacá,Norte Grande,2020-04-17,1,382773,0,73,0,30,0.783754340039658,1.9071355607631677
Tarapacá,Norte Grande,2020-04-18,1,382773,60,73,0,90,2.351263020118974,1.9071355607631677
Tarapacá,Norte Grande,2020-04-19,1,382773,0,73,0,90,2.351263020118974,1.9071355607631677
Tarapacá,Norte Grande,2020-04-20,1,382773,0,93,0,90,2.351263020118974,2.42963845412294
Tarapacá,Norte Grande,2020-04-21,1,382773,30,93,0,120,3.135017360158632,2.42963845412294
Tarapacá,Norte Grande,2020-04-22,1,382773,59,93,0,179,4.676400895569959,2.42963845412294
Tarapacá,Norte Grande,2020-04-23,1,382773,30,93,0,209,5.460155235609617,2.42963845412294
Tarapacá,Norte Grande,2020-04-24,1,382773,203,130,0,412,10.763559603211304,3.396268806838518
Tarapacá,Norte Grande,2020-04-25,1,382773,118,130,1,530,13.846326674033959,3.396268806838518
Tarapacá,Norte Grande,2020-04-26,1,382773,58,130,1,588,15.361585064777296,3.396268806838518
Tarapacá,Norte Grande,2020-04-27,1,382773,58,163,1,646,16.876843455520635,4.258398580882141
Tarapacá,Norte Grande,2020-04-28,1,382773,57,163,1,703,18.365976701595986,4.258398580882141
Tarapacá,Norte Grande,2020-04-29,1,382773,111,163,1,814,21.26586775974272,4.258398580882141
Tarapacá,Norte Grande,2020-04-30,1,382773,124,163,1,938,24.505385698573306,4.258398580882141
Tarapacá,Norte Grande,2020-05-01,1,382773,8,200,1,946,24.714386855917212,5.22502893359772
Tarapacá,Norte Grande,2020-05-02,1,382773,102,200,1,1048,27.379151612052052,5.22502893359772
Tarapacá,Norte Grande,2020-05-03,1,382773,90,200,1,1138,29.730414632171026,5.22502893359772
Tarapacá,Norte Grande,2020-05-04,1,382773,90,287,1,1228,32.08167765229,7.497916519712729
Tarapacá,Norte Grande,2020-05-05,1,382773,123,287,1,1351,35.2950704464526,7.497916519712729
Tarapacá,Norte Grande,2020-05-06,1,382773,53,287,1,1404,36.67970311385599,7.497916519712729
Tarapacá,Norte Grande,2020-05-07,1,382773,221,287,1,1625,42.45336008548147,7.497916519712729
Tarapacá,Norte Grande,2020-05-08,1,382773,169,459,1,1794,46.86850953437155,11.991441402606766
Tarapacá,Norte Grande,2020-05-09,1,382773,184,459,1,1978,51.675536153281456,11.991441402606766
Tarapacá,Norte Grande,2020-05-10,1,382773,185,459,1,2163,56.50868791685934,11.991441402606766
Tarapacá,Norte Grande,2020-05-11,1,382773,275,547,1,2438,63.69310270055621,14.290454133389764
Tarapacá,Norte Grande,2020-05-12,1,382773,0,547,1,2438,63.69310270055621,14.290454133389764
Tarapacá,Norte Grande,2020-05-13,1,382773,6,547,1,2444,63.849853568564136,14.290454133389764
Tarapacá,Norte Grande,2020-05-14,1,382773,274,547,1,2718,71.00814320759301,14.290454133389764
Tarapacá,Norte Grande,2020-05-15,1,382773,346,773,2,3064,80.04744326271707,20.194736828355186
Tarapacá,Norte Grande,2020-05-16,1,382773,268,773,2,3332,87.04898203373801,20.194736828355186
Tarapacá,Norte Grande,2020-05-17,1,382773,374,773,4,3706,96.81978613956575,20.194736828355186
Tarapacá,Norte Grande,2020-05-18,1,382773,284,1053,4,3990,104.23932722527451,27.509777335391995
Tarapacá,Norte Grande,2020-05-19,1,382773,269,1053,4,4259,111.26699114096344,27.509777335391995
Tarapacá,Norte Grande,2020-05-20,1,382773,121,1053,4,4380,114.42813364579007,27.509777335391995
Tarapacá,Norte Grande,2020-05-21,1,382773,361,1053,4,4741,123.85931087093394,27.509777335391995
Tarapacá,Norte Grande,2020-05-22,1,382773,342,1391,5,5083,132.79411034738604,36.34007623317214
Tarapacá,Norte Grande,2020-05-23,1,382773,347,1391,5,5430,141.8595355471781,36.34007623317214
Tarapacá,Norte Grande,2020-05-24,1,382773,335,1391,7,5765,150.61145901095426,36.34007623317214
Tarapacá,Norte Grande,2020-05-25,1,382773,365,1628,7,6130,160.1471368147701,42.53173551948544
Tarapacá,Norte Grande,2020-05-26,1,382773,586,1628,8,6716,175.45647159021144,42.53173551948544
Tarapacá,Norte Grande,2020-05-27,1,382773,314,1628,11,7030,183.65976701595986,42.53173551948544
Tarapacá,Norte Grande,2020-05-28,1,382773,360,1628,12,7390,193.06481909643577,42.53173551948544
Tarapacá,Norte Grande,2020-05-29,1,382773,470,2087,14,7860,205.3436370903904,54.523176922092205
Tarapacá,Norte Grande,2020-05-30,1,382773,565,2087,18,8425,220.10434382780394,54.523176922092205
Tarapacá,Norte Grande,2020-05-31,1,382773,472,2087,21,8897,232.43541211109456,54.523176922092205
Tarapacá,Norte Grande,2020-06-01,1,382773,445,2522,22,9342,244.0611014883495,65.88761485266724
Tarapacá,Norte Grande,2020-06-02,1,382773,0,2522,23,9342,244.0611014883495,65.88761485266724
Tarapacá,Norte Grande,2020-06-03,1,382773,0,2522,28,9342,244.0611014883495,65.88761485266724
Tarapacá,Norte Grande,2020-06-04,1,382773,0,2522,28,9342,244.0611014883495,65.88761485266724
Tarapacá,Norte Grande,2020-06-05,1,382773,0,2955,28,9342,244.0611014883495,77.1998024939063
Tarapacá,Norte Grande,2020-06-06,1,382773,0,2955,30,9342,244.0611014883495,77.1998024939063
Tarapacá,Norte Grande,2020-06-07,1,382773,0,2955,35,9342,244.0611014883495,77.1998024939063
Tarapacá,Norte Grande,2020-06-08,1,382773,0,3374,35,9342,244.0611014883495,88.14623810979354
Tarapacá,Norte Grande,2020-06-09,1,382773,0,3374,35,9342,244.0611014883495,88.14623810979354
Tarapacá,Norte Grande,2020-06-10,1,382773,329,3374,46,9671,252.65627408411777,88.14623810979354
Tarapacá,Norte Grande,2020-06-11,1,382773,344,3374,46,10015,261.6433238499058,88.14623810979354
Tarapacá,Norte Grande,2020-06-12,1,382773,495,3799,48,10510,274.5752704605602,99.24942459368869
Tarapacá,Norte Grande,2020-06-13,1,382773,395,3799,52,10905,284.89470260441567,99.24942459368869
Tarapacá,Norte Grande,2020-06-14,1,382773,482,3799,58,11387,297.48702233438615,99.24942459368869
Tarapacá,Norte Grande,2020-06-15,1,382773,360,4223,58,11747,306.89207441486207,110.32648593291584
Tarapacá,Norte Grande,2020-06-16,1,382773,328,4223,58,12075,315.46112186596235,110.32648593291584
Tarapacá,Norte Grande,2020-06-17,1,382773,348,4223,67,12423,324.5526722104224,110.32648593291584
Tarapacá,Norte Grande,2020-06-18,1,382773,289,4223,68,12712,332.10283901947105,110.32648593291584
Tarapacá,Norte Grande,2020-06-19,1,382773,384,4223,71,13096,342.1348945719787,110.32648593291584
Tarapacá,Norte Grande,2020-06-20,1,382773,484,4223,79,13580,354.77946459128515,110.32648593291584
Antofagasta,Norte Grande,2020-04-09,2,691854,182,105,1,182,2.6306128171550642,1.5176612406663834
Antofagasta,Norte Grande,2020-04-10,2,691854,128,105,1,310,4.480714139110275,1.5176612406663834
Antofagasta,Norte Grande,2020-04-11,2,691854,107,105,1,417,6.0272832129322085,1.5176612406663834
Antofagasta,Norte Grande,2020-04-12,2,691854,175,105,1,592,8.556718614042847,1.5176612406663834
Antofagasta,Norte Grande,2020-04-13,2,691854,103,149,1,695,10.045472021553682,2.1536335700884868
Antofagasta,Norte Grande,2020-04-14,2,691854,95,149,1,790,11.418594096442314,2.1536335700884868
Antofagasta,Norte Grande,2020-04-15,2,691854,117,176,1,907,13.109702336041996,2.5438893176884143
Antofagasta,Norte Grande,2020-04-16,2,691854,117,176,1,1024,14.80081057564168,2.5438893176884143
Antofagasta,Norte Grande,2020-04-17,2,691854,143,211,1,1167,16.867720646263518,3.049776397910542
Antofagasta,Norte Grande,2020-04-18,2,691854,200,211,1,1367,19.758503961818533,3.049776397910542
Antofagasta,Norte Grande,2020-04-19,2,691854,129,211,1,1496,21.62305920035152,3.049776397910542
Antofagasta,Norte Grande,2020-04-20,2,691854,197,264,1,1693,24.470480766173207,3.815833976532621
Antofagasta,Norte Grande,2020-04-21,2,691854,147,264,1,1840,26.595206503106148,3.815833976532621
Antofagasta,Norte Grande,2020-04-22,2,691854,152,264,2,1992,28.79220182292796,3.815833976532621
Antofagasta,Norte Grande,2020-04-23,2,691854,146,264,2,2138,30.90247364328312,3.815833976532621
Antofagasta,Norte Grande,2020-04-24,2,691854,166,368,2,2304,33.30182379519378,5.319041300621229
Antofagasta,Norte Grande,2020-04-25,2,691854,217,368,3,2521,36.438323692570975,5.319041300621229
Antofagasta,Norte Grande,2020-04-26,2,691854,214,368,4,2735,39.53146184021484,5.319041300621229
Antofagasta,Norte Grande,2020-04-27,2,691854,180,457,4,2915,42.133166824214364,6.605439876043211
Antofagasta,Norte Grande,2020-04-28,2,691854,181,457,4,3096,44.749325724791646,6.605439876043211
Antofagasta,Norte Grande,2020-04-29,2,691854,198,457,4,3294,47.611201207191115,6.605439876043211
Antofagasta,Norte Grande,2020-04-30,2,691854,259,457,5,3553,51.35476560083485,6.605439876043211
Antofagasta,Norte Grande,2020-05-01,2,691854,164,579,7,3717,53.72520791958997,8.368817698531771
Antofagasta,Norte Grande,2020-05-02,2,691854,312,579,7,4029,58.234829891855796,8.368817698531771
Antofagasta,Norte Grande,2020-05-03,2,691854,271,579,7,4300,62.15184128443284,8.368817698531771
Antofagasta,Norte Grande,2020-05-04,2,691854,231,749,7,4531,65.49069601389888,10.825983516753535
Antofagasta,Norte Grande,2020-05-05,2,691854,182,749,7,4713,68.12130883105395,10.825983516753535
Antofagasta,Norte Grande,2020-05-06,2,691854,236,749,7,4949,71.53243314340887,10.825983516753535
Antofagasta,Norte Grande,2020-05-07,2,691854,247,749,7,5196,75.10255053811932,10.825983516753535
Antofagasta,Norte Grande,2020-05-08,2,691854,291,912,9,5487,79.30864026225186,13.181971918930872
Antofagasta,Norte Grande,2020-05-09,2,691854,215,912,10,5702,82.4162323264735,13.181971918930872
Antofagasta,Norte Grande,2020-05-10,2,691854,419,912,10,6121,88.47242337256125,13.181971918930872
Antofagasta,Norte Grande,2020-05-11,2,691854,245,1001,10,6366,92.01363293411615,14.468370494352854
Antofagasta,Norte Grande,2020-05-12,2,691854,285,1001,10,6651,96.13299915878206,14.468370494352854
Antofagasta,Norte Grande,2020-05-13,2,691854,94,1001,11,6745,97.4916673170929,14.468370494352854
Antofagasta,Norte Grande,2020-05-14,2,691854,283,1001,11,7028,101.58212570860326,14.468370494352854
Antofagasta,Norte Grande,2020-05-15,2,691854,416,1315,12,7444,107.59495500495768,19.00690029977423
Antofagasta,Norte Grande,2020-05-16,2,691854,5,1315,12,7449,107.66722458784658,19.00690029977423
Antofagasta,Norte Grande,2020-05-17,2,691854,299,1315,13,7748,111.98894564460133,19.00690029977423
Antofagasta,Norte Grande,2020-05-18,2,691854,345,1568,14,8093,116.97554686393372,22.663741193951324
Antofagasta,Norte Grande,2020-05-19,2,691854,290,1568,16,8383,121.16718267148849,22.663741193951324
Antofagasta,Norte Grande,2020-05-20,2,691854,386,1568,17,8769,126.74639447050967,22.663741193951324
Antofagasta,Norte Grande,2020-05-21,2,691854,396,1568,17,9165,132.4701454353086,22.663741193951324
Antofagasta,Norte Grande,2020-05-22,2,691854,259,1816,17,9424,136.21370982895235,26.248312505239547
Antofagasta,Norte Grande,2020-05-23,2,691854,344,1816,21,9768,141.18585713170697,26.248312505239547
Antofagasta,Norte Grande,2020-05-24,2,691854,224,1816,21,9992,144.4235344451286,26.248312505239547
Antofagasta,Norte Grande,2020-05-25,2,691854,347,1990,21,10339,149.43904349761655,28.76329398977241
Antofagasta,Norte Grande,2020-05-26,2,691854,218,1990,23,10557,152.58999731157152,28.76329398977241
Antofagasta,Norte Grande,2020-05-27,2,691854,165,1990,25,10722,154.9748935469044,28.76329398977241
Antofagasta,Norte Grande,2020-05-28,2,691854,206,1990,28,10928,157.95240036192607,28.76329398977241
Antofagasta,Norte Grande,2020-05-29,2,691854,343,2285,28,11271,162.91009374810292,33.027199380216054
Antofagasta,Norte Grande,2020-05-30,2,691854,501,2285,29,11772,170.15150595356823,33.027199380216054
Antofagasta,Norte Grande,2020-05-31,2,691854,379,2285,31,12151,175.62954033654498,33.027199380216054
Antofagasta,Norte Grande,2020-06-01,2,691854,247,2542,32,12398,179.19965773125543,36.741855940704255
Antofagasta,Norte Grande,2020-06-02,2,691854,0,2542,34,12398,179.19965773125543,36.741855940704255
Antofagasta,Norte Grande,2020-06-03,2,691854,0,2542,36,12398,179.19965773125543,36.741855940704255
Antofagasta,Norte Grande,2020-06-04,2,691854,0,2542,38,12398,179.19965773125543,36.741855940704255
Antofagasta,Norte Grande,2020-06-05,2,691854,0,2866,42,12398,179.19965773125543,41.424924911903375
Antofagasta,Norte Grande,2020-06-06,2,691854,0,2866,47,12398,179.19965773125543,41.424924911903375
Antofagasta,Norte Grande,2020-06-07,2,691854,0,2866,44,12398,179.19965773125543,41.424924911903375
Antofagasta,Norte Grande,2020-06-08,2,691854,0,3186,45,12398,179.19965773125543,46.0501782167914
Antofagasta,Norte Grande,2020-06-09,2,691854,0,3186,45,12398,179.19965773125543,46.0501782167914
Antofagasta,Norte Grande,2020-06-10,2,691854,543,3186,56,12941,187.04813443298733,46.0501782167914
Antofagasta,Norte Grande,2020-06-11,2,691854,436,3186,57,13377,193.35004206089724,46.0501782167914
Antofagasta,Norte Grande,2020-06-12,2,691854,526,3821,65,13903,200.9528021808069,55.228415243678576
Antofagasta,Norte Grande,2020-06-13,2,691854,535,3821,67,14438,208.68564754991658,55.228415243678576
Antofagasta,Norte Grande,2020-06-14,2,691854,654,3821,72,15092,218.13850899178152,55.228415243678576
Antofagasta,Norte Grande,2020-06-15,2,691854,364,4483,72,15456,223.39973462609163,64.79690801816568
Antofagasta,Norte Grande,2020-06-16,2,691854,681,4483,72,16137,233.24285181555646,64.79690801816568
Antofagasta,Norte Grande,2020-06-17,2,691854,324,4483,81,16461,237.9259207867556,64.79690801816568
Antofagasta,Norte Grande,2020-06-18,2,691854,745,4483,87,17206,248.69408863719804,64.79690801816568
Antofagasta,Norte Grande,2020-06-19,2,691854,651,4483,93,17857,258.1035883293296,64.79690801816568
Antofagasta,Norte Grande,2020-06-20,2,691854,814,4483,94,18671,269.8690764236385,64.79690801816568
Atacama,Norte Chico,2020-04-09,3,314709,57,12,0,57,1.811197010571671,0.38130463380456225
Atacama,Norte Chico,2020-04-10,3,314709,52,12,0,109,3.463517090391441,0.38130463380456225
Atacama,Norte Chico,2020-04-11,3,314709,60,12,0,169,5.370040259414252,0.38130463380456225
Atacama,Norte Chico,2020-04-12,3,314709,25,12,0,194,6.164424913173757,0.38130463380456225
Atacama,Norte Chico,2020-04-13,3,314709,20,13,0,214,6.799932636181362,0.4130800199549425
Atacama,Norte Chico,2020-04-14,3,314709,22,13,0,236,7.498991131489726,0.4130800199549425
Atacama,Norte Chico,2020-04-15,3,314709,25,13,0,261,8.29337578524923,0.4130800199549425
Atacama,Norte Chico,2020-04-16,3,314709,29,13,0,290,9.214861983610255,0.4130800199549425
Atacama,Norte Chico,2020-04-17,3,314709,37,13,0,327,10.390551271174324,0.4130800199549425
Atacama,Norte Chico,2020-04-18,3,314709,50,13,0,377,11.979320578693333,0.4130800199549425
Atacama,Norte Chico,2020-04-19,3,314709,31,13,0,408,12.964357549355118,0.4130800199549425
Atacama,Norte Chico,2020-04-20,3,314709,33,14,0,441,14.012945292317665,0.4448554061053227
Atacama,Norte Chico,2020-04-21,3,314709,33,14,0,474,15.061533035280211,0.4448554061053227
Atacama,Norte Chico,2020-04-22,3,314709,47,14,0,521,16.55497618434808,0.4448554061053227
Atacama,Norte Chico,2020-04-23,3,314709,57,14,0,578,18.366173194919753,0.4448554061053227
Atacama,Norte Chico,2020-04-24,3,314709,77,21,0,655,20.812877928499027,0.667283109157984
Atacama,Norte Chico,2020-04-25,3,314709,46,21,0,701,22.274545691416517,0.667283109157984
Atacama,Norte Chico,2020-04-26,3,314709,54,21,0,755,23.990416543537048,0.667283109157984
Atacama,Norte Chico,2020-04-27,3,314709,56,29,0,811,25.769838167958337,0.9214861983610255
Atacama,Norte Chico,2020-04-28,3,314709,73,29,0,884,28.08944135693609,0.9214861983610255
Atacama,Norte Chico,2020-04-29,3,314709,112,29,0,996,31.648284605778674,0.9214861983610255
Atacama,Norte Chico,2020-04-30,3,314709,107,29,0,1103,35.048250923869354,0.9214861983610255
Atacama,Norte Chico,2020-05-01,3,314709,114,45,0,1217,38.67064494501269,1.4298923767671086
Atacama,Norte Chico,2020-05-02,3,314709,105,45,0,1322,42.007060490802616,1.4298923767671086
Atacama,Norte Chico,2020-05-03,3,314709,75,45,0,1397,44.39021445208113,1.4298923767671086
Atacama,Norte Chico,2020-05-04,3,314709,70,72,0,1467,46.61449148260774,2.287827802827374
Atacama,Norte Chico,2020-05-05,3,314709,111,72,0,1578,50.141559345299946,2.287827802827374
Atacama,Norte Chico,2020-05-06,3,314709,107,72,0,1685,53.54152566339062,2.287827802827374
Atacama,Norte Chico,2020-05-07,3,314709,164,72,0,1849,58.752688992052974,2.287827802827374
Atacama,Norte Chico,2020-05-08,3,314709,167,90,0,2016,64.05917847916648,2.859784753534217
Atacama,Norte Chico,2020-05-09,3,314709,111,90,0,2127,67.58624634185867,2.859784753534217
Atacama,Norte Chico,2020-05-10,3,314709,101,90,0,2228,70.79556034304707,2.859784753534217
Atacama,Norte Chico,2020-05-11,3,314709,133,135,0,2361,75.02168670104763,4.289677130301326
Atacama,Norte Chico,2020-05-12,3,314709,86,135,0,2447,77.75436990998033,4.289677130301326
Atacama,Norte Chico,2020-05-13,3,314709,0,135,0,2447,77.75436990998033,4.289677130301326
Atacama,Norte Chico,2020-05-14,3,314709,4,135,0,2451,77.88147145458186,4.289677130301326
Atacama,Norte Chico,2020-05-15,3,314709,197,144,0,2648,84.14122252620676,4.575655605654748
Atacama,Norte Chico,2020-05-16,3,314709,311,144,0,2959,94.02336761897499,4.575655605654748
Atacama,Norte Chico,2020-05-17,3,314709,66,144,0,3025,96.1205431049001,4.575655605654748
Atacama,Norte Chico,2020-05-18,3,314709,143,158,0,3168,100.66442332440445,5.02051101176007
Atacama,Norte Chico,2020-05-19,3,314709,98,158,0,3266,103.7784111671417,5.02051101176007
Atacama,Norte Chico,2020-05-20,3,314709,86,158,0,3352,106.51109437607441,5.02051101176007
Atacama,Norte Chico,2020-05-21,3,314709,133,158,0,3485,110.73722073407497,5.02051101176007
Atacama,Norte Chico,2020-05-22,3,314709,154,177,0,3639,115.63063020123353,5.624243348617294
Atacama,Norte Chico,2020-05-23,3,314709,133,177,0,3772,119.85675655923409,5.624243348617294
Atacama,Norte Chico,2020-05-24,3,314709,99,177,0,3871,123.00251978812172,5.624243348617294
Atacama,Norte Chico,2020-05-25,3,314709,83,186,0,3954,125.63987683860329,5.910221823970716
Atacama,Norte Chico,2020-05-26,3,314709,175,186,0,4129,131.2005694149198,5.910221823970716
Atacama,Norte Chico,2020-05-27,3,314709,261,186,0,4390,139.49394520016904,5.910221823970716
Atacama,Norte Chico,2020-05-28,3,314709,178,186,0,4568,145.14996393493672,5.910221823970716
Atacama,Norte Chico,2020-05-29,3,314709,155,210,0,4723,150.07514878824566,6.67283109157984
